partition,variable,active_samples,num_events,activation_ratio,entropy,mean_run_length,max_run_length,mean_gap_between_events
train,termico_rodillo_trasero,3,1,3.0533325598224183e-06,6.03456881618097e-05,3.0,3.0,
train,termico_tamiz_salida,164,1,0.0001669155132702922,0.0023353431487784064,164.0,164.0,
train,termico_ventilador_rodillo_frontal,164,1,0.0001669155132702922,0.0023353431487784064,164.0,164.0,
train,termico_ventilador_rodillo_trasero,164,1,0.0001669155132702922,0.0023353431487784064,164.0,164.0,
train,transportador_salida,164,1,0.0001669155132702922,0.0023353431487784064,164.0,164.0,
train,and_harina,536,117,0.0005455287506882721,0.0067003797430919025,4.581196581196581,40.0,8156.5344827586205
train,and_polvo,0,0,0.0,0.0,0.0,0.0,
train,and_liquido,0,0,0.0,0.0,0.0,0.0,
train,and_sal,0,0,0.0,0.0,0.0,0.0,
train,and_aceite,64,20,6.51377612762116e-05,0.000999786104907808,3.2,8.0,45742.0
train,and_levadura,39,6,3.9693323277691435e-05,0.0006376101469862929,6.5,24.0,61098.6
train,fallo_presion,389386,771,0.3963083173796707,0.9687500940167482,505.0402075226978,105908.0,1274.4974025974027
train,and_harina.1,536,117,0.0005455287506882721,0.0067003797430919025,4.581196581196581,40.0,8156.5344827586205
train,and_polvo.1,0,0,0.0,0.0,0.0,0.0,
train,and_liquido.1,0,0,0.0,0.0,0.0,0.0,
train,and_sal.1,0,0,0.0,0.0,0.0,0.0,
train,and_aceite.1,64,20,6.51377612762116e-05,0.000999786104907808,3.2,8.0,45742.0
train,and_levadura.1,39,6,3.9693323277691435e-05,0.0006376101469862929,6.5,24.0,61098.6
val,aceite_descargado,46896,2,0.19531048269543125,0.7124493243124459,23448.0,27781.0,109045.0
val,alm_dosificacion,619,100,0.0025779850901670068,0.025883934942036117,6.19,56.0,2425.343434343434
val,alm_tolerancia,30,6,0.00012494273457998417,0.0018003061444844739,5.0,10.0,48021.8
val,arranque_ciclo,7620,773,0.03173545458331598,0.2030217741497828,9.857697283311772,101.0,310.7888601036269
val,arranque_en_automatico,68447,362,0.28506517845987256,0.862261005502395,189.08011049723757,38484.0,663.4847645429363
val,bajar_elevador,11314,823,0.04712006996793137,0.274034908725063,13.74726609963548,16.0,291.8333333333333
val,bascu_harina_inactiva,0,0,0.0,0.0,0.0,0.0,
val,bascu_harina_no_vacia,6,1,2.4988546915996834e-05,0.00041808463983849,6.0,6.0,
val,bascu_liquido_inactiva,0,0,0.0,0.0,0.0,0.0,
val,bascu_liquido_no_vacia,0,0,0.0,0.0,0.0,0.0,
val,bascu_polvo_inactiva,0,0,0.0,0.0,0.0,0.0,
val,bascu_polvo_no_vacia,0,0,0.0,0.0,0.0,0.0,
val,bascula_harina_descarga,2252,598,0.009379034609137478,0.07664784464346223,3.765886287625418,8.0,401.8157453936348
val,bascula_inactica,0,0,0.0,0.0,0.0,0.0,
val,bascula_polvo_descarga,144864,54,0.6033234767398276,0.9689732557336428,2682.6666666666665,9472.0,4523.584905660377
val,bascula_polvos,0,0,0.0,0.0,0.0,0.0,
val,cazo_a_vertical,2992,776,0.012460955395443755,0.09669838825616847,3.8556701030927836,8.0,309.52774193548385
val,cazo_a_vertical_2,3120,805,0.012994044396318355,0.10004487196421967,3.875776397515528,8.0,298.363184079602
val,cazo_no_inmovil,23254,24,0.09684727833076506,0.45892127997919485,968.9166666666666,12413.0,4914.434782608696
val,comienzo_pesadas,32843,89,0.13678314106034734,0.5757517471716591,369.02247191011236,12680.0,2092.3863636363635
val,contactor_volteo,216813,10,0.9029736370830036,0.4594978804940729,21681.3,82501.0,20474.777777777777
val,corte_de_masa,11327,823,0.047174211819582694,0.27426972254947685,13.763061968408262,16.0,291.8333333333333
val,descarga_aceite_1,4,1,1.6659031277331224e-05,0.0002884681019180098,4.0,4.0,
val,descarga_aceite_2,3850,777,0.016034317604431303,0.11855389034936895,4.954954954954955,8.0,309.18170103092785
val,detector_final_carrera_inferior_elevador_artesa,0,0,0.0,0.0,0.0,0.0,
val,dosi_en_proceso,145010,18,0.6039315313814502,0.9686042871036031,8056.111111111111,22141.0,13326.823529411764
val,dosifica_aceite,5920,851,0.02465536629045021,0.16683587295687854,6.956521739130435,15.0,282.21647058823527
val,dosifica_aceite_3,0,0,0.0,0.0,0.0,0.0,
val,dosifica_bascula_harina,60852,774,0.2534338428220399,0.8166754106839815,78.62015503875969,490.0,310.5472186287193
val,dosifica_harinas,58242,988,0.24256382491358128,0.7992778980681654,58.949392712550605,486.0,243.0435663627153
val,dosifica_liquido,66529,3083,0.27707717296239226,0.8514376209441533,21.579305870904964,112.0,77.88968202465931
val,dosifica_polvo,170,45,0.000708008829286577,0.008429644615891296,3.7777777777777777,4.0,5125.5
val,dosificacion_bascula_polvo,144840,60,0.6032235225521636,0.9690336947766764,2414.0,11250.0,3948.728813559322
val,dosificacion_liquido,95347,774,0.39709716379992505,0.969227196850727,123.18733850129199,2612.0,310.6028460543338
